"Story","Title","Result","Date","Stability","Duration (s)"
"View account status","Trevor has just joined the program","SUCCESS","2021-05-10T12:49:59.369706295Z[Etc/UTC]","0.0","26.6"
"View account status","Trevor views his flight history for a single flight","SUCCESS","2021-05-10T12:50:27.388438196Z[Etc/UTC]","0.0","20.71"
"View account status","Trevor views his flight history for a return flight","SUCCESS","2021-05-10T12:50:48.885461752Z[Etc/UTC]","0.0","19.65"
"View account status","Trevor views his flight history after several flights","SUCCESS","2021-05-10T12:51:09.417649868Z[Etc/UTC]","0.0","12.93"
