"Story","Title","Result","Date","Stability","Duration (s)"
"View account status","Trevor has just joined the program","SUCCESS","2021-05-10T08:14:41.611134471Z[Etc/UTC]","0.0","23.98"
"View account status","Trevor views his flight history for a single flight","SUCCESS","2021-05-10T08:15:06.995883651Z[Etc/UTC]","0.0","21.28"
"View account status","Trevor views his flight history for a return flight","SUCCESS","2021-05-10T08:15:29.014399183Z[Etc/UTC]","0.0","20.66"
"View account status","Trevor views his flight history after several flights","SUCCESS","2021-05-10T08:15:50.610110752Z[Etc/UTC]","0.0","13.61"
