"Story","Title","Result","Date","Stability","Duration (s)"
"Earning Points","Tracy goes from Standard to Bronze after she makes several trips","SUCCESS","2021-05-11T12:00:48.553253361Z[Etc/UTC]","0.0","74.58"
"Earning Points","Earning status levels from points earned for status level <Status Level>","SUCCESS","2021-05-11T12:02:03.202357895Z[Etc/UTC]","0.0","6.48"
"Earning Points","The region for <City> should be <Region>","SUCCESS","2021-05-11T12:02:09.688902944Z[Etc/UTC]","0.0","1.37"
"Earning Points","Stan books a single economy flight from London to Sydney","SUCCESS","2021-05-11T12:02:11.067204829Z[Etc/UTC]","0.0","11.35"
"Earning Points","Stan books a return economy flight from London to Sydney","SUCCESS","2021-05-11T12:02:22.490953544Z[Etc/UTC]","0.0","11.74"
"Earning Points","Flights within the <Region> region earn <Points Earned> points","SUCCESS","2021-05-11T12:02:34.316486884Z[Etc/UTC]","0.0","4.15"
"Earning Points","Travellers with <Status> level should earn <Bonus> bonus points","SUCCESS","2021-05-11T12:02:38.46777723Z[Etc/UTC]","0.0","4.15"
"Earning Points","Travellers travelling in <Travel Class> class should earn <Bonus> bonus points","SUCCESS","2021-05-11T12:02:42.625679111Z[Etc/UTC]","0.0","3.05"
