"Story","Title","Result","Date","Stability","Duration (s)"
"Authentication","Trevor successfully logs on to the Frequent Flyer app","SUCCESS","2021-05-11T12:00:48.570505479Z[Etc/UTC]","0.0","44.96"
"Registering as a new Frequent Flyer","Trevor registers as a Frequent Flyer member","SUCCESS","2021-05-11T12:00:48.562492978Z[Etc/UTC]","0.0","48.22"
"Registering as a new Frequent Flyer","Someone tries to register with an email that is already used","SUCCESS","2021-05-11T12:01:36.852821279Z[Etc/UTC]","0.0","5.24"
"Registering as a new Frequent Flyer","Only correctly structured emails should be accepted","SUCCESS","2021-05-11T12:01:42.18654626Z[Etc/UTC]","0.0","15.8"
"Registering as a new Frequent Flyer","Email addresses need to be well formed","SUCCESS","2021-05-11T12:01:57.999178435Z[Etc/UTC]","0.0","8.01"
"Registering as a new Frequent Flyer","Candy fails to enter to enter a mandatory field","SUCCESS","2021-05-11T12:02:06.078596074Z[Etc/UTC]","0.0","24.43"
"Registering as a new Frequent Flyer","Candy forgets to agree to the Terms and Conditions","SUCCESS","2021-05-11T12:02:30.575406782Z[Etc/UTC]","0.0","3.5"
