"Story","Title","Result","Date","Stability","Duration (s)"
"View account status","Trevor has just joined the program","SUCCESS","2021-05-11T12:03:02.711319616Z[Etc/UTC]","0.0","24.62"
"View account status","Trevor views his flight history for a single flight","SUCCESS","2021-05-11T12:03:28.056125375Z[Etc/UTC]","0.0","19.07"
"View account status","Trevor views his flight history for a return flight","SUCCESS","2021-05-11T12:03:47.89077465Z[Etc/UTC]","0.0","18.88"
"View account status","Trevor views his flight history after several flights","SUCCESS","2021-05-11T12:04:07.562059808Z[Etc/UTC]","0.0","11.88"
