"Story","Title","Result","Date","Stability","Duration (s)"
"Earning Points","Tracy goes from Standard to Bronze after she makes several trips","SUCCESS","2021-05-11T12:03:02.804663387Z[Etc/UTC]","0.0","58.64"
"Earning Points","Earning status levels from points earned for status level <Status Level>","SUCCESS","2021-05-11T12:04:02.453804588Z[Etc/UTC]","0.0","6.75"
"Earning Points","The region for <City> should be <Region>","SUCCESS","2021-05-11T12:04:09.237463631Z[Etc/UTC]","0.0","1.54"
"Earning Points","Stan books a single economy flight from London to Sydney","SUCCESS","2021-05-11T12:04:10.795792364Z[Etc/UTC]","0.0","17.04"
"Earning Points","Stan books a return economy flight from London to Sydney","SUCCESS","2021-05-11T12:04:28.474846655Z[Etc/UTC]","0.0","13.79"
"Earning Points","Flights within the <Region> region earn <Points Earned> points","SUCCESS","2021-05-11T12:04:42.813867478Z[Etc/UTC]","0.0","4.33"
"Earning Points","Travellers with <Status> level should earn <Bonus> bonus points","SUCCESS","2021-05-11T12:04:47.14925007Z[Etc/UTC]","0.0","4.34"
"Earning Points","Travellers travelling in <Travel Class> class should earn <Bonus> bonus points","SUCCESS","2021-05-11T12:04:51.494515597Z[Etc/UTC]","0.0","3.5"
