"Story","Title","Result","Date","Stability","Duration (s)"
"Earning Points","Tracy goes from Standard to Bronze after she makes several trips","SUCCESS","2021-05-09T22:58:36.855639+01:00[Europe/London]","0.0","33.89"
"Earning Points","Earning status levels from points earned for status level <Status Level>","SUCCESS","2021-05-09T22:59:10.831801+01:00[Europe/London]","0.0","33.22"
"Earning Points","The region for <City> should be <Region>","SUCCESS","2021-05-09T22:59:44.052166+01:00[Europe/London]","0.0","6.6"
"Earning Points","Stan books a single economy flight from London to Sydney","SUCCESS","2021-05-09T22:59:50.659965+01:00[Europe/London]","0.0","13.45"
"Earning Points","Stan books a return economy flight from London to Sydney","SUCCESS","2021-05-09T23:00:04.19389+01:00[Europe/London]","0.0","16.47"
"Earning Points","Flights within the <Region> region earn <Points Earned> points","SUCCESS","2021-05-09T23:00:20.749063+01:00[Europe/London]","0.0","62.82"
"Earning Points","Travellers with <Status> level should earn <Bonus> bonus points","SUCCESS","2021-05-09T23:01:23.576043+01:00[Europe/London]","0.0","63.65"
"Earning Points","Travellers travelling in <Travel Class> class should earn <Bonus> bonus points","SUCCESS","2021-05-09T23:02:27.224618+01:00[Europe/London]","0.0","51.25"
