"Story","Title","Result","Date","Stability","Duration (s)"
"View account status","Trevor has just joined the program","SUCCESS","2021-05-10T12:47:47.433877701Z[Etc/UTC]","0.0","43.74"
"View account status","Trevor views his flight history for a single flight","SUCCESS","2021-05-10T12:48:31.25831118Z[Etc/UTC]","0.0","12.91"
"View account status","Trevor views his flight history for a return flight","SUCCESS","2021-05-10T12:48:44.251689035Z[Etc/UTC]","0.0","13.35"
"View account status","Trevor views his flight history after several flights","SUCCESS","2021-05-10T12:48:57.673879002Z[Etc/UTC]","0.0","8.16"
