"Story","Title","Result","Date","Stability","Duration (s)"
"View account status","Trevor has just joined the program","SUCCESS","2021-05-11T12:00:48.438181806Z[Etc/UTC]","0.0","45.66"
"View account status","Trevor views his flight history for a single flight","SUCCESS","2021-05-11T12:01:34.167634547Z[Etc/UTC]","0.0","12.12"
"View account status","Trevor views his flight history for a return flight","SUCCESS","2021-05-11T12:01:46.359488329Z[Etc/UTC]","0.0","11.4"
"View account status","Trevor views his flight history after several flights","SUCCESS","2021-05-11T12:01:57.830813735Z[Etc/UTC]","0.0","7.78"
