"Story","Title","Result","Date","Stability","Duration (s)"
"Authentication","Trevor successfully logs on to the Frequent Flyer app","SUCCESS","2021-05-10T12:49:59.4763847Z[Etc/UTC]","0.0","25.1"
"Registering as a new Frequent Flyer","Trevor registers as a Frequent Flyer member","SUCCESS","2021-05-10T12:49:59.482986155Z[Etc/UTC]","0.0","31.68"
"Registering as a new Frequent Flyer","Someone tries to register with an email that is already used","SUCCESS","2021-05-10T12:50:32.204870185Z[Etc/UTC]","0.0","10.04"
"Registering as a new Frequent Flyer","Only correctly structured emails should be accepted","SUCCESS","2021-05-10T12:50:43.046042063Z[Etc/UTC]","0.0","32.39"
"Registering as a new Frequent Flyer","Email addresses need to be well formed","SUCCESS","2021-05-10T12:51:15.450435326Z[Etc/UTC]","0.0","13.26"
"Registering as a new Frequent Flyer","Candy fails to enter to enter a mandatory field","SUCCESS","2021-05-10T12:51:29.345346628Z[Etc/UTC]","0.0","37.28"
"Registering as a new Frequent Flyer","Candy forgets to agree to the Terms and Conditions","SUCCESS","2021-05-10T12:52:07.263361251Z[Etc/UTC]","0.0","6.17"
